2024-11-13T18:10:42.412Z [info] Server is running at http://localhost:3000
2024-11-13T18:10:43.660Z [info] Client connected
2024-11-13T18:10:45.556Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:45.723Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:46.063Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:46.233Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:46.583Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:46.753Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:47.093Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:50.162Z [info] End recording signal received
2024-11-13T18:10:50.165Z [info] WAV file created and saved as ../audio/2024_11_13T18_10_50_163Z.wav
2024-11-13T18:10:50.843Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:51.183Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:51.353Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:51.703Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:51.873Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:52.213Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:52.383Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:52.724Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:52.893Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:53.233Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:54.773Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:54.943Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:56.473Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:56.823Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:56.993Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:57.333Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:57.503Z [info] Received audio data (chunk size):8192
2024-11-13T18:10:58.218Z [info] Client connected
2024-11-13T18:11:00.573Z [info] End recording signal received
2024-11-13T18:11:00.574Z [info] WAV file created and saved as ../audio/2024_11_13T18_11_00_574Z.wav
2024-11-13T18:11:01.082Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:01.214Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:01.423Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:02.963Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:03.085Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:03.134Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:06.164Z [info] End recording signal received
2024-11-13T18:11:06.164Z [info] WAV file created and saved as ../audio/2024_11_13T18_11_06_164Z.wav
2024-11-13T18:11:06.203Z [info] End recording signal received
2024-11-13T18:11:06.203Z [info] No audio data to save.
2024-11-13T18:11:07.183Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:08.593Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:08.723Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:08.762Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:08.893Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:09.103Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:09.233Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:09.273Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:09.403Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:09.622Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:09.742Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:09.793Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:09.914Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:11.153Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:11.282Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:11.323Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:11.453Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:11.662Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:13.373Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:13.493Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:13.712Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:13.843Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:14.222Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:14.353Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:14.393Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:14.523Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:14.743Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:14.862Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:14.913Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:15.033Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:15.253Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:15.373Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:15.422Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:15.543Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:15.763Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:15.883Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:15.933Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:16.053Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:16.273Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:16.403Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:16.442Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:16.573Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:16.782Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:16.912Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:16.953Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:17.083Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:17.302Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:17.422Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:17.473Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:18.104Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:18.612Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:18.833Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:19.342Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:19.863Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:20.662Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:20.882Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:22.423Z [info] Received audio data (chunk size):8192
2024-11-13T18:11:23.733Z [info] End recording signal received
